img_path,label,group
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam001_230815_2023-08-19_13-20_55.07_noaug_B_sp4_584.png,1,584
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam029_231010_2023-10-11_06-00_43.69_noaug_B_sp4_595.png,1,595
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam044_230622_2023-06-24_16-30_56.79_noaug_B_sp4_596.png,1,596
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam001_230815_2023-08-19_13-20_55.57_noaug_B_sp4_584.png,1,584
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam054_230705_2023-07-10_08-30_38.48_noaug_B_sp4_593.png,1,593
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam054_230705_2023-07-10_08-30_37.98_noaug_B_sp4_593.png,1,593
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794340_42.89_noaug_B_sp4_591.png,1,591
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157792979_2.95_noaug_B_sp4_594.png,1,594
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam054_230705_2023-07-10_08-30_38.23_noaug_B_sp4_593.png,1,593
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157792979_2.45_noaug_B_sp4_594.png,1,594
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam093_230811_2023-08-15_11-40_48.22_noaug_B_sp4_583.png,1,583
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/157792979_2.7_noaug_B_sp4_594.png,1,594
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam029_231010_2023-10-11_06-00_43.94_noaug_B_sp4_595.png,1,595
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154790205_3.0_noaug_B_sp4_592.png,1,592
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154790205_2.5_noaug_B_sp4_592.png,1,592
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam073_230807_2023-08-09_18-10_11.47_noaug_B_sp4_590.png,1,590
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam029_231010_2023-10-11_06-00_43.44_noaug_B_sp4_595.png,1,595
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154794340_42.39_noaug_B_sp4_591.png,1,591
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam079_231103_2023-11-04_16-50_27.88_noaug_B_sp4_566.png,1,566
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam126_231016_2023-10-18_18-30_40.28_noaug_B_sp4_598.png,1,598
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam126_231016_2023-10-18_18-30_42.28_noaug_B_sp4_598.png,1,598
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230811_2023-08-13_09-00_15.72_noaug_B_sp4_597.png,1,597
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/154791678_43.0_noaug_B_sp4_601.png,1,601
G:/Shared drives/BioSoundSCape_ABG/labeled_data/spectrogram_data/training/s2lam104_230811_2023-08-13_09-00_15.97_noaug_B_sp4_597.png,1,597
